"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
0,1871,"South End Grounds I","BS1","Boston Red Stockings","Boston Red Stockings",31,20,10,NULL
1,1871,"Union Base-Ball Grounds","CH1","Chicago White Stockings","Chicago White Stockings",28,19,9,NULL
2,1871,"National Association Grounds","CL1","Cleveland Forest Citys","Cleveland Forest Citys",29,10,19,NULL
3,1871,"Hamilton Field","FW1","Fort Wayne Kekiongas","Fort Wayne Kekiongas",19,7,12,NULL
4,1871,"Union Grounds (Brooklyn)","NY2","New York Mutuals","New York Mutuals",33,16,17,NULL
5,1871,"Jefferson Street Grounds","PH1","Philadelphia Athletics","Philadelphia Athletics",28,21,7,NULL
6,1871,"Agricultural Society Fair Grounds","RC1","Rockford Forest Citys","Rockford Forest Citys",25,4,21,NULL
7,1871,"Haymakers' Grounds","TRO","Troy Haymakers","Troy Haymakers",29,13,15,NULL
8,1871,"Olympics Grounds","WS3","Washington Olympics","Washington Olympics",32,15,15,NULL
9,1872,"Newington Park","BL1","Baltimore Canaries","Baltimore Canaries",58,35,19,NULL
10,1872,"Union Grounds","BR1","Brooklyn Eckfords","Brooklyn Eckfords",29,3,26,NULL
11,1872,"Capitoline Grounds","BR2","Brooklyn Atlantics","Brooklyn Atlantics",37,9,28,NULL
12,1872,"South End Grounds I","BS1","Boston Red Stockings","Boston Red Stockings",48,39,8,NULL
13,1872,"National Association Grounds","CL1","Cleveland Forest Citys","Cleveland Forest Citys",22,6,16,NULL
14,1872,"Mansfield Club Grounds","MID","Middletown Mansfields","Middletown Mansfields",24,5,19,NULL
15,1872,"Union Grounds (Brooklyn)","NY2","New York Mutuals","New York Mutuals",56,34,20,NULL
16,1872,"Jefferson Street Grounds","PH1","Philadelphia Athletics","Philadelphia Athletics",47,30,14,NULL
17,1872,"Haymakers' Grounds","TRO","Troy Haymakers","Troy Haymakers",25,15,10,NULL
18,1872,"Olympics Grounds","WS3","Washington Olympics","Washington Olympics",9,2,7,NULL
19,1872,"Nationals Grounds","WS4","Washington Nationals","Washington Nationals",11,0,11,NULL
20,1873,"Newington Park","BL1","Baltimore Canaries","Baltimore Canaries",57,34,22,NULL
21,1873,"Newington Park","BL4","Baltimore Marylands","Baltimore Marylands",6,0,6,NULL
22,1873,"Union Grounds","BR2","Brooklyn Atlantics","Brooklyn Atlantics",55,17,37,NULL
23,1873,"South End Grounds I","BS1","Boston Red Stockings","Boston Red Stockings",60,43,16,NULL
24,1873,"Waverly Fairgrounds","ELI","Elizabeth Resolutes","Elizabeth Resolutes",23,2,21,NULL
25,1873,"Union Grounds (Brooklyn)","NY2","New York Mutuals","New York Mutuals",53,29,24,NULL
26,1873,"Jefferson Street Grounds","PH1","Philadelphia Athletics","Philadelphia Athletics",52,28,23,NULL
27,1873,"Jefferson Street Grounds","PH2","Philadelphia Whites","Philadelphia White Stockings",53,36,17,NULL
